STATE,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
Alabama,1544,JACKSONVILLE CITY SCHOOL DISTRICT,2016,14925.00,1563.00,8599.00,4763.00,22806.00,8696.00,4489.00,1186.00,8033.00
Alabama,1247,PIEDMONT CITY SCHOOL DISTRICT,2016,11695.00,1507.00,7287.00,2901.00,11355.00,6262.00,3701.00,1025.00,259.00
Alabama,4171,OXFORD CITY SCHOOL DISTRICT,2016,43617.00,3494.00,23131.00,16992.00,41504.00,23367.00,13221.00,2624.00,900.00
Alabama,3729,CHAMBERS COUNTY SCHOOL DISTRICT,2016,35550.00,5072.00,21545.00,8933.00,35428.00,18163.00,12613.00,3468.00,635.00
Alabama,863,LANETT CITY SCHOOL DISTRICT,2016,9413.00,1648.00,5717.00,2048.00,9419.00,5161.00,3057.00,918.00,232.00
Alabama,4042,CHEROKEE COUNTY SCHOOL DISTRICT,2016,40647.00,4419.00,24019.00,12209.00,41646.00,20688.00,13409.00,3818.00,2851.00
Alabama,7743,CHILTON COUNTY SCHOOL DISTRICT,2016,66020.00,7864.00,43959.00,14197.00,66004.00,38489.00,20119.00,6525.00,263.00
Alabama,1495,CHOCTAW COUNTY SCHOOL DISTRICT,2016,17426.00,2531.00,8525.00,6370.00,15660.00,6973.00,6588.00,1558.00,77.00
Alabama,2717,CLARKE COUNTY SCHOOL DISTRICT,2016,28164.00,4509.00,16842.00,6813.00,28934.00,13563.00,10126.00,3365.00,1188.00
Alabama,1339,THOMASVILLE CITY SCHOOL DISTRICT,2016,13572.00,1334.00,8364.00,3874.00,15018.00,7378.00,4821.00,1075.00,1572.00
Alabama,1978,CLAY COUNTY SCHOOL DISTRICT,2016,18425.00,2182.00,12797.00,3446.00,17663.00,10178.00,5356.00,1714.00,98.00
Alabama,2631,CLEBURNE COUNTY SCHOOL DISTRICT,2016,25205.00,2707.00,17402.00,5096.00,25478.00,13510.00,8079.00,2382.00,691.00
Alabama,2081,COFFEE COUNTY SCHOOL DISTRICT,2016,20354.00,2611.00,12825.00,4918.00,20509.00,10653.00,7209.00,1483.00,930.00
Alabama,615,ELBA CITY SCHOOL DISTRICT,2016,7152.00,993.00,4367.00,1792.00,7238.00,3824.00,2705.00,642.00,0.00
Alabama,6823,ENTERPRISE CITY SCHOOL DISTRICT,2016,61888.00,6348.00,38269.00,17271.00,65966.00,31061.00,22834.00,4742.00,6640.00
Alabama,2638,COLBERT COUNTY SCHOOL DISTRICT,2016,31196.00,3250.00,15582.00,12364.00,30748.00,15639.00,10596.00,2764.00,1698.00
Alabama,1059,SHEFFIELD CITY SCHOOL DISTRICT,2016,13779.00,2114.00,7041.00,4624.00,13310.00,7088.00,4453.00,1316.00,406.00
Alabama,1527,TUSCUMBIA CITY SCHOOL DISTRICT,2016,15100.00,1307.00,8686.00,5107.00,16985.00,7551.00,5172.00,1345.00,2639.00
Alabama,2907,MUSCLE SHOALS CITY SCHOOL DISTRICT,2016,29431.00,1589.00,15851.00,11991.00,28870.00,16117.00,9453.00,2559.00,227.00
Alabama,1525,CONECUH COUNTY SCHOOL DISTRICT,2016,21921.00,2967.00,9542.00,9412.00,19915.00,8452.00,7604.00,1591.00,913.00
Alabama,1003,COOSA COUNTY SCHOOL DISTRICT,2016,10642.00,1554.00,5986.00,3102.00,10517.00,5008.00,4316.00,927.00,23.00
Alabama,1745,ANDALUSIA CITY SCHOOL DISTRICT,2016,18650.00,2360.00,9571.00,6719.00,15978.00,9218.00,5193.00,1169.00,93.00
Alabama,3178,COVINGTON COUNTY SCHOOL DISTRICT,2016,31073.00,3635.00,19108.00,8330.00,29870.00,16788.00,9410.00,2821.00,639.00
Alabama,1357,OPP CITY SCHOOL DISTRICT,2016,13595.00,1586.00,8108.00,3901.00,13643.00,6550.00,4407.00,1261.00,384.00
Alabama,2239,CRENSHAW COUNTY SCHOOL DISTRICT,2016,21294.00,2690.00,13343.00,5261.00,21222.00,11890.00,6681.00,2233.00,185.00
Alabama,3130,CULLMAN CITY SCHOOL DISTRICT,2016,30963.00,2857.00,15071.00,13035.00,30044.00,18084.00,8682.00,1686.00,646.00
Alabama,9573,CULLMAN COUNTY SCHOOL DISTRICT,2016,94578.00,8181.00,58949.00,27448.00,93836.00,51127.00,30410.00,7248.00,3899.00
Alabama,3079,DALE COUNTY SCHOOL DISTRICT,2016,29011.00,2786.00,18692.00,7533.00,27492.00,14974.00,8856.00,2642.00,591.00
Alabama,2131,OZARK CITY SCHOOL DISTRICT,2016,23012.00,2548.00,14093.00,6371.00,23479.00,11081.00,7703.00,1592.00,2878.00
Alabama,1078,DALEVILLE CITY SCHOOL DISTRICT,2016,10999.00,1804.00,6770.00,2425.00,10652.00,5549.00,3844.00,775.00,179.00
Alabama,3243,DALLAS COUNTY SCHOOL DISTRICT,2016,36746.00,7636.00,22598.00,6512.00,35428.00,17123.00,14283.00,3311.00,535.00
Alabama,3798,SELMA CITY SCHOOL DISTRICT,2016,35241.00,6753.00,21192.00,7296.00,39712.00,18965.00,11820.00,3624.00,4772.00
Alabama,9015,DE KALB COUNTY SCHOOL DISTRICT,2016,84601.00,11216.00,54725.00,18660.00,83676.00,46696.00,25174.00,7467.00,4015.00
Alabama,3205,FORT PAYNE CITY SCHOOL DISTRICT,2016,28952.00,3630.00,17672.00,7650.00,28145.00,16171.00,7917.00,2752.00,901.00
Alabama,11232,ELMORE COUNTY SCHOOL DISTRICT,2016,98521.00,8978.00,61887.00,27656.00,96876.00,54160.00,29529.00,8497.00,3134.00
Alabama,1854,TALLASSEE CITY SCHOOL DISTRICT,2016,17726.00,1549.00,10823.00,5354.00,17696.00,10020.00,5301.00,1458.00,812.00
Alabama,1158,BREWTON CITY SCHOOL DISTRICT,2016,11443.00,1045.00,6727.00,3671.00,26652.00,6668.00,3688.00,718.00,1363.00
Alabama,4479,ESCAMBIA COUNTY SCHOOL DISTRICT,2016,45791.00,5948.00,27364.00,12479.00,48595.00,24282.00,16742.00,3754.00,2844.00
Alabama,1638,ATTALLA CITY SCHOOL DISTRICT,2016,16009.00,1940.00,10917.00,3152.00,17120.00,8944.00,4942.00,1409.00,1330.00
Alabama,8802,ETOWAH COUNTY BOARD OF EDUCATION,2016,79322.00,7905.00,53478.00,17939.00,79601.00,41327.00,24934.00,7264.00,3918.00
Alabama,5226,GADSDEN CITY SCHOOL DISTRICT,2016,53345.00,9295.00,29199.00,14851.00,52913.00,28638.00,17624.00,5800.00,28.00
Alabama,2403,FAYETTE COUNTY SCHOOL DISTRICT,2016,22528.00,2639.00,14527.00,5362.00,21990.00,11495.00,7711.00,2474.00,199.00
Alabama,3388,FRANKLIN COUNTY SCHOOL DISTRICT,2016,33368.00,4304.00,21231.00,7833.00,34380.00,18295.00,9935.00,4841.00,878.00
Alabama,2743,RUSSELLVILLE CITY SCHOOLS,2016,26359.00,3258.00,16084.00,7017.00,27093.00,14315.00,7396.00,2890.00,1572.00
Alabama,2742,GENEVA COUNTY SCHOOL DISTRICT,2016,26402.00,3640.00,17603.00,5159.00,25792.00,13601.00,8000.00,2574.00,1386.00
Alabama,1275,GENEVA CITY SCHOOL DISTRICT,2016,13016.00,1227.00,8750.00,3039.00,11983.00,6947.00,3838.00,873.00,251.00
Alabama,1173,GREENE COUNTY SCHOOL DISTRICT,2016,14695.00,2381.00,7645.00,4669.00,14897.00,6312.00,6175.00,1166.00,806.00
Alabama,2687,HALE COUNTY SCHOOL DISTRICT,2016,28497.00,3778.00,17349.00,7370.00,27221.00,13575.00,8519.00,2268.00,2232.00
Alabama,2540,HENRY COUNTY SCHOOL DISTRICT,2016,24166.00,2573.00,15381.00,6212.00,24025.00,12264.00,7611.00,2012.00,1114.00
Alabama,9336,DOTHAN CITY SCHOOL DISTRICT,2016,88129.00,12655.00,50399.00,25075.00,85409.00,50875.00,26855.00,6786.00,421.00
Alabama,6343,HOUSTON COUNTY SCHOOL DISTRICT,2016,55122.00,6092.00,33481.00,15549.00,55759.00,31375.00,17631.00,4659.00,1497.00
Alabama,5528,JACKSON COUNTY SCHOOL DISTRICT,2016,58256.00,6854.00,35239.00,16163.00,58329.00,27882.00,20456.00,5457.00,3747.00
Alabama,2536,SCOTTSBORO CITY SCHOOL DISTRICT,2016,27634.00,2085.00,15142.00,10407.00,26990.00,13375.00,8977.00,2385.00,617.00
Alabama,3740,BESSEMER CITY SCHOOL DISTRICT,2016,41288.00,7480.00,21905.00,11903.00,42030.00,20359.00,14741.00,4437.00,1717.00
Alabama,24693,BIRMINGHAM CITY SCHOOL DISTRICT,2016,273626.00,43262.00,125189.00,105175.00,272202.00,141114.00,96550.00,22760.00,8000.00
Alabama,1782,FAIRFIELD CITY SCHOOL DISTRICT,2016,18479.00,3282.00,11172.00,4025.00,18371.00,9314.00,6757.00,1877.00,317.00
Alabama,36092,JEFFERSON COUNTY BOARD OF EDUCATION,2016,344274.00,33131.00,199350.00,111793.00,338349.00,179721.00,112276.00,29991.00,13918.00
Alabama,1174,TARRANT CITY SCHOOL DISTRICT,2016,12580.00,2255.00,6940.00,3385.00,12468.00,5875.00,4976.00,1495.00,59.00
Alabama,1905,LEEDS CITY SCHOOL DISTRICT,2016,27699.00,1522.00,10713.00,15464.00,32285.00,9932.00,6313.00,1370.00,12244.00
Alabama,4456,TRUSSVILLE CITY SCHOOL DISTRICT,2016,47842.00,971.00,23259.00,23612.00,65049.00,23174.00,16568.00,3301.00,20644.00
Alabama,13910,HOOVER CITY SCHOOL DISTRICT,2016,168040.00,6088.00,69229.00,92723.00,165436.00,91812.00,49945.00,12558.00,3277.00
Alabama,4371,MOUNTAIN BROOK SCHOOLS,2016,61403.00,793.00,20122.00,40488.00,59779.00,36546.00,18241.00,3708.00,736.00
Alabama,4069,HOMEWOOD CITY SCHOOL DISTRICT,2016,52340.00,2202.00,17538.00,32600.00,47726.00,27029.00,15587.00,3285.00,533.00
Alabama,1134,MIDFIELD CITY SCHOOL DISTRICT,2016,11987.00,2401.00,6921.00,2665.00,12501.00,5417.00,4882.00,1439.00,726.00
Alabama,7015,VESTAVIA HILLS CITY SCHOOL DISTRICT,2016,78089.00,1738.00,33190.00,43161.00,88933.00,46690.00,25124.00,4910.00,11051.00
Alabama,2351,LAMAR COUNTY SCHOOL DISTRICT,2016,22275.00,2637.00,14731.00,4907.00,23060.00,11085.00,7289.00,2415.00,1882.00
Alabama,4519,FLORENCE CITY SCHOOL DISTRICT,2016,55334.00,5078.00,23387.00,26869.00,52958.00,28756.00,17920.00,3212.00,1538.00
Alabama,8445,LAUDERDALE COUNTY SCHOOL DISTRICT,2016,76888.00,6248.00,48206.00,22434.00,76362.00,44980.00,22474.00,6123.00,2587.00
Alabama,4841,LAWRENCE COUNTY SCHOOL DISTRICT,2016,51703.00,5697.00,31283.00,14723.00,53773.00,25170.00,15423.00,4366.00,7753.00
Alabama,9771,LEE COUNTY SCHOOL DISTRICT,2016,95695.00,7077.00,56426.00,32192.00,94539.00,53270.00,30303.00,6881.00,1957.00
Alabama,4240,OPELIKA CITY SCHOOLS,2016,47847.00,4849.00,22979.00,20019.00,47136.00,26558.00,14349.00,3906.00,1855.00
Alabama,8310,AUBURN CITY SCHOOL DISTRICT,2016,134959.00,4440.00,41613.00,88906.00,131695.00,44694.00,26933.00,5129.00,49074.00
Alabama,3933,ATHENS CITY SCHOOL DISTRICT,2016,40524.00,2990.00,19155.00,18379.00,40785.00,21893.00,13162.00,3185.00,1494.00
Alabama,8789,LIMESTONE COUNTY SCHOOL DISTRICT,2016,88553.00,6940.00,53070.00,28543.00,106503.00,51088.00,29551.00,6743.00,16046.00
Alabama,1562,LOWNDES COUNTY SCHOOL DISTRICT,2016,21642.00,6200.00,10961.00,4481.00,21098.00,9799.00,8197.00,2147.00,587.00
Alabama,2134,MACON COUNTY SCHOOL DISTRICT,2016,23758.00,4356.00,14019.00,5383.00,26578.00,10991.00,10974.00,2191.00,1032.00
Alabama,23827,HUNTSVILLE CITY SCHOOL DISTRICT,2016,267800.00,27807.00,113117.00,126876.00,410031.00,139078.00,103055.00,16503.00,130238.00
Alabama,19452,MADISON COUNTY SCHOOL DISTRICT,2016,187046.00,12291.00,111079.00,63676.00,185652.00,97465.00,56852.00,15315.00,7462.00
Alabama,10011,MADISON CITY SCHOOL DISTRICT,2016,105927.00,5007.00,56050.00,44870.00,101154.00,55316.00,33444.00,5715.00,2393.00
Alabama,2289,DEMOPOLIS CITY SCHOOL DISTRICT,2016,19779.00,2120.00,12518.00,5141.00,19572.00,11510.00,5622.00,1970.00,354.00
Alabama,1090,MARENGO COUNTY SCHOOL DISTRICT,2016,11585.00,1540.00,7058.00,2987.00,11678.00,5775.00,4702.00,939.00,83.00
Alabama,518,LINDEN CITY SCHOOL DISTRICT,2016,5672.00,863.00,3617.00,1192.00,5448.00,2772.00,2151.00,498.00,0.00
Alabama,3405,MARION COUNTY SCHOOL DISTRICT,2016,31887.00,3573.00,20888.00,7426.00,31060.00,18013.00,9605.00,2765.00,582.00
Alabama,1266,WINFIELD CITY SCHOOL DISTRICT,2016,12965.00,1269.00,7723.00,3973.00,13028.00,7128.00,3653.00,1451.00,652.00
Alabama,5635,MARSHALL COUNTY SCHOOL DISTRICT,2016,56422.00,7747.00,35295.00,13380.00,64739.00,27425.00,20913.00,5789.00,10116.00
Alabama,2310,BOAZ CITY SCHOOL DISTRICT,2016,22813.00,2457.00,13373.00,6983.00,22413.00,11710.00,7949.00,2214.00,65.00
Alabama,5214,ALBERTVILLE CITY SCHOOL DISTRICT,2016,49795.00,7277.00,28885.00,13633.00,46778.00,24173.00,15092.00,4435.00,1212.00
Alabama,2540,ARAB CITY SCHOOL DISTRICT,2016,23606.00,1544.00,15096.00,6966.00,26202.00,14569.00,7328.00,1851.00,2325.00
Alabama,1999,GUNTERSVILLE CITY SCHOOL DISTRICT,2016,20195.00,1878.00,10821.00,7496.00,19412.00,10566.00,6435.00,2195.00,60.00
Alabama,57581,MOBILE COUNTY SCHOOL DISTRICT,2016,564939.00,78217.00,310545.00,176177.00,606882.00,276941.00,203328.00,45405.00,65087.00
Alabama,2953,SARALAND CITY SCHOOLS,2016,28801.00,2047.00,15459.00,11295.00,37818.00,12692.00,9673.00,1855.00,10172.00
Alabama,1032,CHICKASAW CITY SCHOOLS,2016,9219.00,1619.00,5489.00,2111.00,9386.00,5084.00,3210.00,1003.00,44.00
Alabama,1308,SATSUMA CITY SCHOOL DISTRICT,2016,13229.00,1148.00,7742.00,4339.00,18106.00,6429.00,5737.00,677.00,5057.00
Alabama,3600,MONROE COUNTY SCHOOL DISTRICT,2016,33410.00,5253.00,20650.00,7507.00,33507.00,18834.00,11269.00,2607.00,694.00
Alabama,30667,MONTGOMERY COUNTY SCHOOL DISTRICT,2016,301121.00,42712.00,169038.00,89371.00,296474.00,154168.00,94679.00,24279.00,20895.00
Alabama,1125,PIKE ROAD SCHOOL DISTRICT,2016,9473.00,326.00,5276.00,3871.00,8943.00,5058.00,2898.00,639.00,130.00
Alabama,8693,DECATUR CITY SCHOOL DISTRICT,2016,99476.00,9576.00,45791.00,44109.00,109323.00,54843.00,26332.00,6660.00,16323.00
Alabama,7757,MORGAN COUNTY SCHOOL DISTRICT,2016,78919.00,6537.00,41600.00,30782.00,81220.00,40529.00,26593.00,6816.00,5346.00
Alabama,3068,HARTSELLE CITY SCHOOL DISTRICT,2016,30401.00,1588.00,17791.00,11022.00,29601.00,16948.00,9263.00,2245.00,388.00
Alabama,1525,PERRY COUNTY SCHOOL DISTRICT,2016,16271.00,3616.00,10175.00,2480.00,15450.00,8277.00,4975.00,1959.00,36.00
Alabama,2633,PICKENS COUNTY SCHOOL DISTRICT,2016,26826.00,3541.00,17386.00,5899.00,27921.00,13906.00,9343.00,2389.00,2152.00
Alabama,2189,PIKE COUNTY SCHOOL DISTRICT,2016,23840.00,3437.00,13858.00,6545.00,23530.00,11749.00,9201.00,2001.00,126.00
Alabama,1981,TROY CITY SCHOOL DISTRICT,2016,20582.00,2097.00,10239.00,8246.00,19199.00,11194.00,5491.00,1475.00,41.00
Alabama,2228,RANDOLPH COUNTY SCHOOL DISTRICT,2016,21531.00,2475.00,13280.00,5776.00,23702.00,11997.00,7546.00,1657.00,2300.00
Alabama,1542,ROANOKE CITY SCHOOL DISTRICT,2016,13567.00,1714.00,8577.00,3276.00,13381.00,7876.00,3930.00,1297.00,132.00
Alabama,7043,PHENIX CITY SCHOOL DISTRICT,2016,66280.00,7735.00,40838.00,17707.00,68862.00,34974.00,20942.00,5284.00,5578.00
Alabama,3598,RUSSELL COUNTY SCHOOL DISTRICT,2016,33852.00,4285.00,21466.00,8101.00,32367.00,16919.00,11069.00,3391.00,346.00
Alabama,9056,ST CLAIR COUNTY SCHOOL DISTRICT,2016,80428.00,8311.00,51603.00,20514.00,80152.00,43171.00,24236.00,8609.00,2638.00
Alabama,4023,PELL CITY SCHOOL DISTRICT,2016,37455.00,3535.00,23100.00,10820.00,36396.00,20246.00,11407.00,2881.00,1119.00
Alabama,20064,SHELBY COUNTY SCHOOL DISTRICT,2016,207108.00,11491.00,107556.00,88061.00,204630.00,106520.00,68978.00,15178.00,5050.00
Alabama,1593,SUMTER COUNTY SCHOOL DISTRICT,2016,19254.00,3747.00,11192.00,4315.00,19797.00,8985.00,7914.00,1961.00,131.00
Alabama,2256,SYLACAUGA CITY SCHOOL DISTRICT,2016,22318.00,2431.00,13419.00,6468.00,30634.00,12827.00,7663.00,1676.00,8363.00
Alabama,2051,TALLADEGA CITY SCHOOL DISTRICT,2016,21934.00,2863.00,13355.00,5716.00,22472.00,11575.00,7984.00,1879.00,1006.00
Alabama,7777,TALLADEGA COUNTY SCHOOL DISTRICT,2016,77788.00,8297.00,43662.00,25829.00,76784.00,35942.00,29424.00,6521.00,3104.00
Alabama,2894,TALLAPOOSA COUNTY SCHOOL DISTRICT,2016,29725.00,3597.00,14928.00,11200.00,26794.00,14360.00,8907.00,2648.00,316.00
Alabama,3102,ALEXANDER CITY SCHOOL DISTRICT,2016,32454.00,3717.00,17018.00,11719.00,29642.00,17613.00,8768.00,2309.00,628.00
Alabama,10418,TUSCALOOSA CITY SCHOOL DISTRICT,2016,126506.00,16560.00,51035.00,58911.00,125943.00,57345.00,45959.00,9692.00,11962.00
Alabama,18352,TUSCALOOSA COUNTY SCHOOL DISTRICT,2016,180014.00,15123.00,102089.00,62802.00,172552.00,86904.00,54912.00,16059.00,13514.00
Alabama,2746,JASPER CITY SCHOOL DISTRICT,2016,27747.00,2406.00,14860.00,10481.00,29622.00,15932.00,7966.00,2159.00,3478.00
Alabama,7827,WALKER COUNTY SCHOOL DISTRICT,2016,77323.00,10228.00,44847.00,22248.00,76823.00,41223.00,26370.00,5437.00,2313.00
Alabama,2936,WASHINGTON COUNTY SCHOOL DISTRICT,2016,28275.00,3865.00,16255.00,8155.00,28507.00,15665.00,8544.00,3141.00,982.00
Alabama,1795,WILCOX COUNTY SCHOOL DISTRICT,2016,19633.00,3718.00,11702.00,4213.00,19943.00,9266.00,7230.00,1862.00,733.00
Alabama,2449,WINSTON COUNTY SCHOOL DISTRICT,2016,26086.00,2743.00,15593.00,7750.00,25019.00,12329.00,9720.00,2477.00,105.00
Alabama,1711,HALEYVILLE CITY SCHOOL DISTRICT,2016,16709.00,1828.00,9904.00,4977.00,16158.00,9067.00,4939.00,1591.00,150.00
Alaska,426,MOUNT EDGECUMBE HIGH SCHOOL AGENCY,2016,12154.00,3725.00,8420.00,9.00,12112.00,5632.00,5222.00,342.00,916.00
Alaska,378,ALASKA GATEWAY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,11433.00,2284.00,9048.00,101.00,12381.00,5543.00,6011.00,639.00,188.00
Alaska,35,ALEUTIAN REGION SCHOOL DISTRICT,2016,1493.00,115.00,1321.00,57.00,1804.00,679.00,1089.00,36.00,0.00
Alaska,410,KUSPUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,14354.00,6430.00,7150.00,774.00,14494.00,6003.00,7382.00,616.00,493.00
Alaska,461,YUPIIT SCHOOLS,2016,12348.00,4347.00,7167.00,834.00,15309.00,6381.00,7036.00,1443.00,449.00
Alaska,591,SOUTHWEST REGION SCHOOLS,2016,26198.00,10689.00,14962.00,547.00,24097.00,6999.00,11575.00,1329.00,4194.00
Alaska,184,SOUTHEAST ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,7820.00,822.00,6665.00,333.00,9334.00,3599.00,4892.00,274.00,569.00
Alaska,1895,BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,48238.00,10451.00,34684.00,3103.00,66782.00,35512.00,23775.00,3032.00,4463.00
Alaska,172,CHATHAM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,5067.00,814.00,4140.00,113.00,5074.00,2299.00,2347.00,186.00,242.00
Alaska,4293,LOWER KUSKOKWIM REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,146279.00,17720.00,108126.00,20433.00,172073.00,55175.00,70486.00,6649.00,39763.00
Alaska,777,DELTA-GREELY REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,13494.00,1460.00,11811.00,223.00,13117.00,7251.00,5471.00,390.00,5.00
Alaska,363,CHUGACH REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,6357.00,1672.00,3615.00,1070.00,6729.00,4512.00,1946.00,51.00,220.00
Alaska,426,COPPER RIVER REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,8679.00,1013.00,7458.00,208.00,8392.00,4307.00,3723.00,158.00,204.00
Alaska,2030,LOWER YUKON REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,61350.00,24947.00,35250.00,1153.00,61506.00,27326.00,24497.00,5057.00,4626.00
Alaska,333,KASHUNAMIUT SCHOOL DISTRICT,2016,7874.00,3044.00,4342.00,488.00,10008.00,4191.00,4765.00,1041.00,11.00
Alaska,310,IDITAROD REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,7451.00,878.00,6365.00,208.00,7753.00,2967.00,4188.00,291.00,307.00
Alaska,261,YUKON FLATS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,9650.00,1889.00,7636.00,125.00,10549.00,3928.00,6181.00,362.00,78.00
Alaska,1591,YUKON-KOYUKUK REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,23948.00,4476.00,19000.00,472.00,24538.00,11212.00,8526.00,722.00,4078.00
Alaska,337,ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,10463.00,6840.00,3444.00,179.00,8529.00,4839.00,2757.00,464.00,469.00
Alaska,82,PRIBILOF ISLANDS REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),2016,3206.00,1053.00,1718.00,435.00,3011.00,1323.00,1398.00,280.00,10.00
Alaska,132,BRISTOL BAY BOROUGH SCHOOL DISTRICT,2016,3986.00,359.00,2037.00,1590.00,4292.00,1823.00,2309.00,138.00,22.00
Alaska,13901,FAIRBANKS N STAR BOROUGH SCHOOL DISTRICT,2016,249155.00,32095.00,156833.00,60227.00,233935.00,127275.00,96591.00,5470.00,1615.00
Alaska,281,HAINES BOROUGH SCHOOL DISTRICT,2016,6698.00,437.00,4377.00,1884.00,6644.00,3512.00,2208.00,358.00,111.00
Alaska,8992,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,2016,161721.00,9426.00,102241.00,50054.00,163029.00,91667.00,62415.00,4257.00,2937.00
Alaska,2340,KETCHIKAN-GATEWAY BOROUGH SCHOOL DISTRICT,2016,42426.00,2348.00,30715.00,9363.00,40414.00,23434.00,14691.00,1006.00,488.00
Alaska,2173,NORTHWEST ARCTIC BOROUGH SCHOOLS,2016,74025.00,16249.00,47196.00,10580.00,75554.00,29085.00,33997.00,4614.00,6827.00
Alaska,2434,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,2016,53750.00,5515.00,37013.00,11222.00,57229.00,26882.00,25085.00,1382.00,511.00
Alaska,18742,MATANUSKA SUSITNA BOROUGH SCHOOL DISTRICT,2016,303215.00,18467.00,222607.00,62141.00,358757.00,150590.00,119298.00,6816.00,72443.00
Alaska,2047,NORTH SLOPE BOROUGH SCHOOLS,2016,74050.00,10285.00,22844.00,40921.00,77190.00,29351.00,39990.00,6677.00,1172.00
Alaska,459,PETERSBURG CITY SCHOOL DISTRICT,2016,10479.00,587.00,7899.00,1993.00,10277.00,5224.00,3622.00,307.00,764.00
Alaska,240,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,2016,9290.00,2396.00,5749.00,1145.00,9399.00,4224.00,4320.00,352.00,127.00
Alaska,341,LAKE AND PENINSULA BOROUGH SCHOOLS,2016,19780.00,2087.00,12193.00,5500.00,20312.00,6824.00,8142.00,671.00,3682.00
Alaska,872,DENALI BOROUGH SCHOOL DISTRICT,2016,10246.00,243.00,7634.00,2369.00,9707.00,5043.00,4625.00,2.00,37.00
Alaska,85,YAKUTAT SCHOOL DISTRICT,2016,2347.00,307.00,1399.00,641.00,2381.00,1345.00,1028.00,4.00,4.00
Alaska,108,SKAGWAY SCHOOL DISTRICT,2016,3088.00,41.00,1154.00,1893.00,2911.00,1658.00,1034.00,128.00,91.00
Alaska,378,UNALASKA CITY SCHOOL DISTRICT,2016,10244.00,338.00,5500.00,4406.00,9875.00,5366.00,3004.00,1401.00,49.00
Alaska,48324,ANCHORAGE SCHOOL DISTRICT,2016,758779.00,78331.00,463256.00,217192.00,800058.00,411183.00,263280.00,21744.00,90609.00
Alaska,455,DILLINGHAM CITY SCHOOL DISTRICT,2016,12098.00,1802.00,8227.00,2069.00,12761.00,6382.00,5090.00,914.00,0.00
